Code CIS,Designation de lelement pharmaceutique,Code de la substance,Dénomination de la substance,Dosage de la substance,Reference de ce dosage,Nature du composant,Numero de liaison SA/FT
60002283,comprimé,42215,ANASTROZOLE,"1,00 mg",un comprimé,SA,1
60002504,comprimé,25783,RANITIDINE (CHLORHYDRATE DE),168 mg,un comprimé,SA,1
60002746,granules,5319,ACTAEA RACEMOSA POUR PRÉPARATIONS HOMÉOPATHIQUES,2CH à 30CH et 4DH à 60DH,un comprimé,SA,7
60003620,suspension,4179,DIPROPIONATE DE BÉCLOMÉTASONE,800 microgrammes,2 ml de suspension,SA,1
60004277,gélule,3902,FÉNOFIBRATE,"100,00 mg",une gélule,SA,1
60004487,comprimé,35415,TRAMADOL,200 mg,un comprimé,FT,1
60004505,solution,97952,CABAZITAXEL,60 mg,"un flacon de 1,5 mL de solution à diluer",SA,1
60004932,comprimé,4442,METFORMINE,780 mg,un comprimé,FT,1
60005856,comprimé,4034,FAMOTIDINE,20 mg,un comprimé,SA,1
60005952,granules,12683,RHODODENDRON FERRUGINEUM POUR PRÉPARATIONS HOMÉOPATHIQUES,2CH à 30CH et 4DH à 60DH,un comprimé,SA,14
60007437,comprimé,19809,ATORVASTATINE,40 mg,un comprimé,FT,1
60007960,gel,931,SULFATE DE ZINC,"0,5 g",100 ml de gel,SA,2
60008724,capsule,36065,DUTASTÉRIDE,"0,5 mg",une capsule,SA,1
60008845,solution,529,GLUCOSE ANHYDRE,15 g,100 ml de solution pour perfusion,FT,1
60008927,gélule,37973,RIVASTIGMINE,"1,5 mg",une gélule,FT,1
60009573,comprimé,2202,PARACÉTAMOL,500 mg,un comprimé,SA,1
60010084,poudre,3599,THIOPENTAL ET CARBONATE SODIQUES,,,SA,1
60010166,solution,901,CHLORURE DE SODIUM,"5,85 g",100 ml,SA,1
60010885,comprimé,66431,CIPROFLOXACINE,250 mg,un comprimé,FT,1
60010967,capsule,19745,NITRATE DE FENTICONAZOLE,200 mg,une capsule,SA,1
60014894,comprimé,258,NUX VOMICA POUR PRÉPARATIONS HOMÉOPATHIQUES,5 mg (4 DH),un comprimé,SA,6
60015448,comprimé,5495,GELSÉMIUM POUR PRÉPARATIONS HOMÉOPATHIQUES,2CH à 30CH et 4DH à 60DH,un comprimé,SA,17
60016308,comprimé,27222,CARVÉDILOL,25 mg,un comprimé,SA,1
60016589,solution,8152,LÉVOCARNITINE,1000 mg,une ampoule,SA,1
60018088,gélule,39422,PRÉGABALINE,300 mg,une gélule,SA,26
60018444,comprimé,68776,ENTÉCAVIR MONOHYDRATÉ,,,SA,1
